participant_id,mode,age_group,gender,sessions,total_tasks,answered_tasks,solved_tasks,accuracy_total,accuracy_answered,answered_rate,mean_rt_ms,median_rt_ms,p90_rt_ms,max_level,level_gain_mean,solved_tasks_per_session,answered_tasks_per_session,total_tasks_per_session
participant_19,baseline,25-28,male,1,100,99,88,0.88,0.8888888888888888,0.99,2228.7272727272725,2079.0,3335.4,6.0,5.0,88.0,99.0,100.0
participant_20,baseline,21-24,male,1,33,27,17,0.5151515151515151,0.6296296296296297,0.8181818181818182,2004.0740740740741,1887.0,3670.2000000000044,1.0,0.0,17.0,27.0,33.0
participant_21,baseline,29-34,male,2,150,145,132,0.88,0.9103448275862069,0.9666666666666667,2057.494572297004,1747.75,3327.7499999999995,7.0,4.5,66.0,72.5,75.0
participant_22,baseline,29-34,female,3,83,78,73,0.8795180722891566,0.9358974358974359,0.9397590361445783,2275.871794871795,2217.0,3375.9,6.0,1.6666666666666667,24.333333333333332,26.0,27.666666666666668
participant_23,baseline,29-34,male,3,384,365,325,0.8463541666666666,0.8904109589041096,0.9505208333333334,2085.884357307612,1856.5,3277.0,10.0,4.666666666666667,108.33333333333333,121.66666666666667,128.0
participant_24,baseline,29-34,male,1,221,217,187,0.8461538461538461,0.8617511520737328,0.9819004524886877,1957.7096774193549,1721.0,3094.6,10.0,9.0,187.0,217.0,221.0
participant_25,baseline,29-34,female,1,402,394,364,0.9054726368159204,0.9238578680203046,0.9800995024875622,2248.3629441624366,2085.0,3522.4,10.0,9.0,364.0,394.0,402.0
participant_26,baseline,29-34,male,4,237,231,175,0.7383966244725738,0.7575757575757576,0.9746835443037974,3021.476621417798,3089.3333333333335,4106.466666666667,10.0,2.25,43.75,57.75,59.25
participant_26,ppo,29-34,male,1,90,90,81,0.9,0.9,1.0,2225.5555555555557,2042.5,3108.8,9.0,8.0,81.0,90.0,90.0
participant_27,baseline,21-24,male,1,942,933,855,0.9076433121019108,0.9163987138263665,0.9904458598726115,1988.6634512325832,1687.0,3422.0,10.0,9.0,855.0,933.0,942.0
participant_28,baseline,29-34,male,1,520,502,446,0.8576923076923076,0.8884462151394422,0.9653846153846154,2379.675298804781,2222.0,3590.9,10.0,9.0,446.0,502.0,520.0
participant_29,baseline,25-28,female,1,70,64,56,0.8,0.875,0.9142857142857143,2507.28125,2583.5,3715.500000000001,3.0,2.0,56.0,64.0,70.0
participant_29,ppo,25-28,female,1,200,199,185,0.925,0.9296482412060302,0.995,1922.145728643216,1716.0,3246.6000000000004,10.0,9.0,185.0,199.0,200.0
participant_30,baseline,35-39,male,1,275,267,249,0.9054545454545454,0.9325842696629213,0.9709090909090909,1940.3558052434457,1588.0,3250.0,10.0,9.0,249.0,267.0,275.0
participant_30,ppo,35-39,male,4,160,159,152,0.95,0.9559748427672956,0.99375,1706.2027777777778,1575.375,2640.675,10.0,2.25,38.0,39.75,40.0
participant_31,baseline,35-39,male,2,60,55,51,0.85,0.9272727272727272,0.9166666666666666,2081.42,1642.0,3662.8500000000004,3.0,1.0,25.5,27.5,30.0
participant_31,ppo,35-39,male,1,70,70,65,0.9285714285714286,0.9285714285714286,1.0,1782.6571428571428,1545.5,3019.3,6.0,5.0,65.0,70.0,70.0
participant_32,baseline,25-28,female,1,210,193,175,0.8333333333333334,0.9067357512953368,0.919047619047619,2110.373056994819,1981.0,3162.2000000000007,9.0,8.0,175.0,193.0,210.0
participant_33,baseline,21-24,male,5,427,411,374,0.8758782201405152,0.9099756690997567,0.9625292740046838,2912.0661764705883,3438.5,4372.55,10.0,1.8,74.8,82.2,85.4
participant_33,ppo,21-24,male,1,120,120,117,0.975,0.975,1.0,1899.4333333333334,1639.0,3046.1,10.0,9.0,117.0,120.0,120.0
participant_34,baseline,29-34,female,1,330,286,254,0.7696969696969697,0.8881118881118881,0.8666666666666667,2214.513986013986,2130.0,3410.5,10.0,8.0,254.0,286.0,330.0
