participant_id,account_id,session_id,mode,age_group,gender,total_tasks,answered_tasks,solved_tasks,accuracy_total,accuracy_answered,answered_rate,mean_rt_ms,median_rt_ms,p90_rt_ms,first_level,last_level,max_level,level_gain,completed_batches,task_span_minutes
test_user,test_user,test_session,baseline,unknown,unknown,1,0,0,1.0,,0.0,,,,,,,,0,
biba,biba,s1775634620_biba,ppo,unknown,unknown,420,418,377,0.8976190476190476,0.9019138755980861,0.9952380952380953,1572.7894736842106,1281.5,2981.9,1.0,10.0,10.0,9.0,42,12.339610866666668
participant_01,lera,s1774984858_lera,ppo,25-28,female,30,9,8,0.26666666666666666,0.8888888888888888,0.3,1991.888888888889,1853.0,3341.2,10.0,10.0,10.0,0.0,3,20.49446615
participant_03,piski99,s1775570286_piski99,ppo,25-28,female,234,229,206,0.8803418803418803,0.8995633187772926,0.9786324786324786,1822.82096069869,1563.0,3150.8,1.0,10.0,10.0,9.0,24,11.692069033333333
participant_05,zzzz,s1775602552_zzzz,ppo,25-28,female,162,159,135,0.8333333333333334,0.8490566037735849,0.9814814814814815,1760.9622641509434,1470.0,3092.8,1.0,10.0,10.0,9.0,17,9.330135799999999
participant_07,darkarma,s1775584381_darkarma,ppo,25-28,female,150,147,139,0.9266666666666666,0.9455782312925171,0.98,1829.265306122449,1562.0,3083.0000000000005,1.0,10.0,10.0,9.0,15,9.4055444
participant_08,book,s1774895235_book,ppo,29-34,male,48,47,43,0.8958333333333334,0.9148936170212766,0.9791666666666666,1568.0212765957447,1260.0,2742.5999999999995,10.0,10.0,10.0,0.0,5,1.7516015666666667
participant_08,book,s1775585007_book,ppo,29-34,male,120,120,104,0.8666666666666667,0.8666666666666667,1.0,1662.7666666666667,1372.0,2705.2000000000003,1.0,9.0,9.0,8.0,12,4.450969150000001
participant_10,serka,s1775674112_serka,ppo,35-39,male,30,30,27,0.9,0.9,1.0,2021.3666666666666,1835.5,2962.4,1.0,2.0,2.0,1.0,3,1.3599008833333335
participant_10,serka,s1775674228_serka,ppo,35-39,male,30,30,28,0.9333333333333333,0.9333333333333333,1.0,1842.3,1537.5,2917.2,1.0,3.0,3.0,2.0,3,2.9246513666666667
participant_30,zubenko1,s1775487003_zubenko1,ppo,35-39,male,10,9,9,0.9,1.0,0.9,1888.111111111111,1880.0,2710.8,1.0,1.0,1.0,0.0,1,0.28317485
participant_30,zubenko1,s1775487095_zubenko1,ppo,35-39,male,10,10,9,0.9,0.9,1.0,1795.1,1898.0,2498.1,1.0,1.0,1.0,0.0,1,0.24990821666666668
participant_30,zubenko1,s1775493556_zubenko1,ppo,35-39,male,10,10,10,1.0,1.0,1.0,1555.4,1278.5,2328.2,1.0,1.0,1.0,0.0,1,0.2190433
participant_30,zubenko1,s1775493578_zubenko1,ppo,35-39,male,90,90,89,0.9888888888888889,0.9888888888888889,1.0,1551.088888888889,1213.0,2875.6000000000004,1.0,9.0,9.0,8.0,9,2.9376922333333337
